,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Saint-Philippe,RE,78.8,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
166,Nizhneyansk,RE,78.8,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
168,Polis,CY,50.0,scattered clouds,35.04,32.43,Marion
173,El Ejido,ES,55.99,clear sky,36.78,-2.81,Gran Hotel Victoria
174,Hokitika,NZ,61.29,clear sky,-42.72,170.97,Beachfront Hotel Hokitika
175,Naze,JP,66.2,scattered clouds,28.37,129.48,奄美ポートタワーホテル
184,Ranfurly,NZ,68.0,clear sky,-45.13,170.1,Ranfurly Holiday Park Motels & Cabins
190,Muros,ES,53.01,fog,42.78,-9.06,Apartment Av. Castelao
191,Rosarito,MX,61.0,clear sky,32.33,-117.03,Festival Plaza
192,Providencia,MX,66.0,overcast clouds,28.72,-111.58,
193,Louisbourg,MX,66.0,overcast clouds,28.72,-111.58,
194,Grants Pass,US,48.0,clear sky,42.44,-123.33,La Quinta Inn & Suites by Wyndham Grants Pass
200,Salalah,OM,69.8,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
204,Talara,PE,77.38,overcast clouds,-4.58,-81.27,Hostal Oro Negro
208,Qinzhou,CN,73.89,clear sky,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
210,Kiama,AU,77.0,scattered clouds,-34.68,150.87,The Sebel Kiama Harbourside
211,Guerrero Negro,MX,59.5,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
212,Sao Gabriel Da Cachoeira,BR,77.74,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
216,Jiexiu,CN,48.97,clear sky,37.02,111.91,IU Hotel Jinzhong Yuhua Road
217,Padang,ID,78.33,clear sky,-0.95,100.35,Mercure Padang
220,Te Anau,NZ,59.0,broken clouds,-45.42,167.72,Kingsgate Hotel Te Anau
222,Calvinia,ZA,62.6,clear sky,-31.47,19.78,Die Lemoenhuis
223,Caconda,AO,63.19,overcast clouds,-13.73,15.07,
226,San Carlos De Bariloche,AR,53.6,clear sky,-41.15,-71.31,Hotel Patagonia
227,Karaul,AR,53.6,clear sky,-41.15,-71.31,Hotel Patagonia
232,Sao Filipe,CV,68.05,overcast clouds,14.9,-24.5,Tortuga B&B
233,Cabo San Lucas,MX,73.4,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
235,Gat,IL,51.8,light rain,31.61,34.76,OlusHome
239,Russell,US,42.8,clear sky,32.35,-85.2,Macs
241,Sumbe,AO,79.23,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
242,Vila Velha,BR,75.2,moderate rain,-20.33,-40.29,Hotel Vitória Palace
244,Inhambane,MZ,79.0,overcast clouds,-23.86,35.38,MHL Turismo SA
246,Kingman,US,57.2,moderate rain,35.19,-114.05,Quality Inn Kingman Route 66
249,Ponta Do Sol,PT,70.0,few clouds,32.67,-17.1,Hotel do Campo
252,Saldanha,ZA,64.4,clear sky,-33.01,17.94,Blue Bay Lodge
259,Victoria,HK,73.99,scattered clouds,22.29,114.16,Mini Hotel Central
260,Jishou,CN,55.45,overcast clouds,28.32,109.72,7Days Inn Jishou Railway Station
261,Grand River South East,CN,55.45,overcast clouds,28.32,109.72,7Days Inn Jishou Railway Station
264,Pisco,PE,75.2,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
266,Bathsheba,BB,77.0,scattered clouds,13.22,-59.52,Atlantis Hotel
269,Arlit,NE,72.59,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
271,San Clemente,US,60.01,clear sky,33.43,-117.61,Best Western Plus Casablanca Inn
272,Jackson,US,48.0,clear sky,42.42,-122.83,Agate Village Apartments
273,Los Llanos De Aridane,ES,71.6,overcast clouds,28.66,-17.92,Valle Aridane
279,Arcachon,FR,42.8,overcast clouds,44.59,-1.05,Hôtel All Suites Le Teich
283,Bambari,CF,71.33,scattered clouds,5.77,20.68,Hotel-Restaurant BIBICH
285,Codrington,AU,62.46,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
286,Erfurt,DE,48.99,light rain,50.98,11.03,"Radisson Blu Hotel, Erfurt"
287,Espanola,US,43.0,light rain,35.99,-106.08,Santa Claran Hotel
289,Malakal,SS,72.54,clear sky,9.53,31.66,Nile Palace Hotel
291,Baillif,GP,73.4,broken clouds,16.02,-61.75,Chambres Bougainvilliers Vue Mer
295,Kalakamati,BW,69.8,thunderstorm with heavy rain,-20.59,27.31,
298,Lagoa,PT,58.55,clear sky,39.05,-27.98,Casa Das Faias
299,New Norfolk,AU,79.0,few clouds,-42.78,147.06,The Shingles Riverside Cottages
301,Abonnema,NG,78.8,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
304,Kijang,KR,46.4,clear sky,35.24,129.21,Brown Dot Gijang Yeonhwari
305,Necochea,AR,52.0,clear sky,-38.55,-58.74,dyd -mar Hotel
309,Brae,GB,41.0,overcast clouds,60.4,-1.35,Busta House Hotel
312,Corinto,GR,46.99,broken clouds,37.94,22.96,Ephira Hotel
313,Gangotri,GR,46.99,broken clouds,37.94,22.96,Ephira Hotel
314,Saleaula,GR,46.99,broken clouds,37.94,22.96,Ephira Hotel
317,Gayeri,BF,76.28,clear sky,12.65,0.49,
320,Jibuti,DJ,78.8,broken clouds,11.5,42.5,Campement touristique DANKALELO
322,Okato,NZ,66.99,few clouds,-39.2,173.88,Stony River Boutique Hotel
324,Port Macquarie,AU,78.01,overcast clouds,-31.43,152.92,Rydges Port Macquarie
330,Tura,IN,77.29,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
331,Tuatapere,NZ,61.0,scattered clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
332,Mayo,US,41.0,clear sky,38.89,-76.51,Resorts Resource Group International
333,Port Hardy,CA,42.8,overcast clouds,50.7,-127.42,Airport Inn
336,Diffa,NE,67.35,few clouds,13.32,12.61,ProDAF/Diffa
337,Dzitbalche,MX,64.51,clear sky,20.32,-90.05,Lavadero San Mateo
338,Ravar,IR,52.25,clear sky,31.27,56.81,computertik
342,Rocha,UY,51.8,clear sky,-34.48,-54.33,Beleza Pura B&B
343,Manaus,BR,77.0,broken clouds,-3.1,-60.02,Hotel do Largo
344,Juybar,IR,48.2,mist,36.64,52.91,مجتمع مسکونی رز
345,Camacha,PT,64.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
347,Rio Grande,BR,59.0,clear sky,-32.03,-52.1,Swan Express Rio Grande
351,Christchurch,NZ,70.0,clear sky,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
